type|advisor,type.s=advisor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|advisor.s=http://www.Department0.University85.edu/UndergraduateStudent285,1
emailAddress|type,emailAddress.s=type.s,emailAddress.o=UndergraduateStudent404@Department7.University78.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,1
name|takesCourse,name.s=takesCourse.o,name.o=Course28|,44832
name|member,name.s=member.s,name.o=Department10|,55894
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department6.University64.edu/AssociateProfessor0|,6
type|subOrganizationOf,type.s=subOrganizationOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup|subOrganizationOf.o=http://www.University64.edu,298
undergraduateDegreeFrom|type,undergraduateDegreeFrom.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant,55994
mastersDegreeFrom|type,mastersDegreeFrom.o=type.s,mastersDegreeFrom.s=http://www.Department17.University10.edu/AssociateProfessor9|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,808741
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent64|memberOf.o=http://www.Department13.University76.edu,1
member|telephone,member.o=telephone.s,member.s=http://www.Department12.University70.edu|telephone.o=xxx-xxx-xxxx,512
takesCourse|emailAddress,takesCourse.s=emailAddress.s,takesCourse.o=http://www.Department0.University63.edu/Course29|emailAddress.o=UndergraduateStudent364@Department0.University63.edu,1
publicationAuthor|name,publicationAuthor.o=name.s,publicationAuthor.s=http://www.Department15.University11.edu/AssociateProfessor4/Publication0|name.o=AssociateProfessor4,1
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|memberOf.s=http://www.Department5.University67.edu/UndergraduateStudent97,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|takesCourse.o=http://www.Department12.University61.edu/GraduateCourse9,3
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|,1120834
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department5.University32.edu/UndergraduateStudent372,8
name|takesCourse,name.s=takesCourse.o,name.o=Course57|takesCourse.s=http://www.Department15.University12.edu/UndergraduateStudent153,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,2894749
degreeFrom|type,degreeFrom.s=type.s,degreeFrom.o=http://www.University997.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,254
takesCourse|hasAlumnus,takesCourse.s=hasAlumnus.o,takesCourse.o=http://www.Department9.University21.edu/GraduateCourse38|hasAlumnus.s=http://www.University824.edu,1
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department14.University55.edu/GraduateCourse42,8
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department9.University33.edu/UndergraduateStudent187|,2
publicationAuthor|teachingAssistantOf,publicationAuthor.o=teachingAssistantOf.s,publicationAuthor.s=http://www.Department7.University21.edu/AssociateProfessor6/Publication1|,1
advisor|takesCourse,advisor.s=takesCourse.s,advisor.o=http://www.Department12.University84.edu/FullProfessor1|takesCourse.o=http://www.Department12.University84.edu/GraduateCourse32,1
takesCourse|type,takesCourse.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,2894749
subOrganizationOf|memberOf,subOrganizationOf.s=memberOf.o,|memberOf.s=http://www.Department22.University31.edu/UndergraduateStudent207,1
undergraduateDegreeFrom|type,undergraduateDegreeFrom.s=type.s,undergraduateDegreeFrom.o=http://www.University595.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant,74
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department19.University3.edu/Course5,19
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department6.University48.edu/GraduateCourse19|,26
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department5.University6.edu/GraduateStudent74|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,4
memberOf|telephone,memberOf.s=telephone.s,memberOf.o=http://www.Department8.University77.edu|telephone.o=xxx-xxx-xxxx,462
type|hasAlumnus,type.s=hasAlumnus.s,|hasAlumnus.o=http://www.Department4.University38.edu/GraduateStudent114,2
memberOf|type,memberOf.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1120834
name|publicationAuthor,name.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department2.University10.edu/FullProfessor0/Publication0,2
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department8.University30.edu|,590
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department2.University16.edu/GraduateStudent46|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse,3
type|teacherOf,type.s=teacherOf.o,|teacherOf.s=http://www.Department20.University26.edu/AssistantProfessor1,7
name|takesCourse,name.s=takesCourse.o,name.o=Course8|,44369
name|type,name.s=type.s,name.o=UndergraduateStudent299|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,1859
name|publicationAuthor,name.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department17.University48.edu/AssociateProfessor5,17
name|takesCourse,name.s=takesCourse.o,name.o=Course10|takesCourse.s=http://www.Department1.University78.edu/UndergraduateStudent217,1
memberOf|takesCourse,memberOf.s=takesCourse.s,|takesCourse.o=http://www.Department7.University77.edu/Course32,28
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|name.o=Publication15,22178
emailAddress|type,emailAddress.s=type.s,emailAddress.o=UndergraduateStudent274@Department7.University5.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department8.University34.edu/UndergraduateStudent308,3
member|type,member.s=type.s,member.o=http://www.Department11.University15.edu/UndergraduateStudent175|,2
telephone|memberOf,telephone.s=memberOf.s,|memberOf.o=http://www.Department0.University33.edu,678
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|memberOf.s=http://www.Department9.University61.edu/UndergraduateStudent287,1
takesCourse|name,takesCourse.s=name.s,|name.o=UndergraduateStudent277,5864
degreeFrom|type,degreeFrom.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,469226
name|emailAddress,name.s=emailAddress.s,name.o=UndergraduateStudent216|emailAddress.o=UndergraduateStudent216@Department7.University85.edu,1
telephone|undergraduateDegreeFrom,telephone.s=undergraduateDegreeFrom.s,telephone.o=xxx-xxx-xxxx|undergraduateDegreeFrom.o=http://www.University395.edu,342
telephone|hasAlumnus,telephone.s=hasAlumnus.o,telephone.o=xxx-xxx-xxxx|,469226
type|publicationAuthor,type.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department19.University80.edu/FullProfessor6/Publication2,16
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|member.s=http://www.Department13.University13.edu,111
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department4.University77.edu|takesCourse.o=http://www.Department4.University77.edu/Course46,17
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent60|memberOf.o=http://www.Department17.University48.edu,1
name|undergraduateDegreeFrom,name.s=undergraduateDegreeFrom.o,name.o=University51|undergraduateDegreeFrom.s=http://www.Department22.University6.edu/GraduateStudent149,1
publicationAuthor|telephone,publicationAuthor.o=telephone.s,publicationAuthor.s=http://www.Department18.University55.edu/AssociateProfessor13/Publication1|,2
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department15.University94.edu/UndergraduateStudent184,4
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent205|memberOf.o=http://www.Department15.University54.edu,1
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department15.University89.edu/AssociateProfessor8/Publication14|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department5.University35.edu/UndergraduateStudent37|,4
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department15.University29.edu/UndergraduateStudent69|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department16.University47.edu/Course30|name.o=UndergraduateStudent278,1
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|member.o=http://www.Department14.University25.edu/UndergraduateStudent252,1
telephone|type,telephone.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent293@Department11.University16.edu|takesCourse.o=http://www.Department11.University16.edu/Course47,1
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department5.University70.edu/Course2|,19
emailAddress|advisor,emailAddress.s=advisor.s,|advisor.o=http://www.Department14.University77.edu/AssistantProfessor6,9
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department9.University40.edu/UndergraduateStudent154|name.o=Course30,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department20.University66.edu/Course18,26
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
emailAddress|type,emailAddress.s=type.s,emailAddress.o=GraduateStudent47@Department8.University75.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,1
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department5.University1.edu/UndergraduateStudent107|,1
undergraduateDegreeFrom|memberOf,undergraduateDegreeFrom.s=memberOf.s,undergraduateDegreeFrom.o=http://www.University14.edu|memberOf.o=http://www.Department14.University55.edu,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department17.University60.edu/UndergraduateStudent438,3
takesCourse|emailAddress,takesCourse.s=emailAddress.s,|emailAddress.o=UndergraduateStudent28@Department21.University31.edu,3
name|degreeFrom,name.s=degreeFrom.s,name.o=GraduateStudent90|degreeFrom.o=http://www.University114.edu,3
takesCourse|degreeFrom,takesCourse.s=degreeFrom.s,|degreeFrom.o=http://www.University250.edu,537
advisor|type,advisor.s=type.s,advisor.o=http://www.Department12.University55.edu/FullProfessor7|,36
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,1442184
memberOf|member,memberOf.s=member.o,|member.s=http://www.Department6.University74.edu,508
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department16.University76.edu/GraduateStudent82|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department20.University45.edu/GraduateStudent105,1
undergraduateDegreeFrom|member,undergraduateDegreeFrom.s=member.o,|member.s=http://www.Department2.University29.edu,150
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|memberOf.s=http://www.Department9.University69.edu/UndergraduateStudent189,1
type|degreeFrom,type.s=degreeFrom.s,|degreeFrom.o=http://www.University647.edu,1724
name|memberOf,name.s=memberOf.s,|memberOf.o=http://www.Department11.University64.edu,501
telephone|member,telephone.s=member.o,|member.s=http://www.Department7.University73.edu,590
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|member.o=http://www.Department2.University14.edu/UndergraduateStudent153,1
hasAlumnus|type,hasAlumnus.o=type.s,hasAlumnus.s=http://www.University642.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee,216
type|telephone,type.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2828648
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,|takesCourse.o=http://www.Department1.University98.edu/GraduateCourse30,9
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department4.University29.edu/UndergraduateStudent17,8
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department4.University34.edu/Course9|,44
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent200|takesCourse.o=http://www.Department13.University73.edu/Course8,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department18.University16.edu/UndergraduateStudent184,4
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
name|hasAlumnus,name.s=hasAlumnus.o,|hasAlumnus.s=http://www.University964.edu,469
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,505548
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent4@Department14.University1.edu|takesCourse.o=http://www.Department14.University1.edu/Course30,1
degreeFrom|takesCourse,degreeFrom.s=takesCourse.s,degreeFrom.o=http://www.University505.edu|takesCourse.o=http://www.Department17.University85.edu/GraduateCourse23,1
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department11.University58.edu/UndergraduateStudent282|name.o=Department11,1
publicationAuthor|type,publicationAuthor.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,1442184
teacherOf|emailAddress,teacherOf.s=emailAddress.s,teacherOf.o=http://www.Department0.University76.edu/GraduateCourse36|,1
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department2.University40.edu|,547
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|name.o=UndergraduateStudent16,2007
name|type,name.s=type.s,name.o=Publication2|,66353
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department5.University72.edu/Course6|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,21
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|member.s=http://www.Department8.University99.edu,391
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent311|,1751
telephone|name,telephone.s=name.s,telephone.o=xxx-xxx-xxxx|name.o=UndergraduateStudent240,2007
publicationAuthor|mastersDegreeFrom,publicationAuthor.o=mastersDegreeFrom.s,publicationAuthor.s=http://www.Department11.University94.edu/AssociateProfessor7/Publication1|mastersDegreeFrom.o=http://www.University124.edu,1
name|worksFor,name.s=worksFor.o,name.o=Department0|worksFor.s=http://www.Department0.University94.edu/AssistantProfessor0,1
emailAddress|advisor,emailAddress.s=advisor.s,emailAddress.o=UndergraduateStudent180@Department6.University77.edu|advisor.o=http://www.Department6.University77.edu/AssistantProfessor2,1
emailAddress|memberOf,emailAddress.s=memberOf.s,emailAddress.o=UndergraduateStudent83@Department8.University39.edu|memberOf.o=http://www.Department8.University39.edu,1
telephone|memberOf,telephone.s=memberOf.s,telephone.o=xxx-xxx-xxxx|memberOf.o=http://www.Department16.University80.edu,568
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|,252562
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department19.University86.edu/GraduateStudent91|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,4
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|degreeFrom.o=http://www.University525.edu,253
member|name,member.o=name.s,|name.o=UndergraduateStudent84,2007
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department13.University92.edu/GraduateStudent62,3
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent44|takesCourse.o=http://www.Department8.University45.edu/GraduateCourse25,1
name|publicationAuthor,name.s=publicationAuthor.o,name.o=FullProfessor2|,35096
name|takesCourse,name.s=takesCourse.o,name.o=GraduateCourse28|,9325
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department15.University35.edu/UndergraduateStudent435,4
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|,778438
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|telephone.o=xxx-xxx-xxxx,795970
member|type,member.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1120834
subOrganizationOf|memberOf,subOrganizationOf.s=memberOf.o,subOrganizationOf.o=http://www.University92.edu|memberOf.s=http://www.Department0.University92.edu/UndergraduateStudent118,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|publicationAuthor.s=http://www.Department6.University4.edu/AssociateProfessor7/Publication11,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,795970
type|memberOf,type.s=memberOf.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|memberOf.s=http://www.Department5.University70.edu/GraduateStudent42,1
degreeFrom|name,degreeFrom.o=name.s,degreeFrom.s=http://www.Department4.University81.edu/GraduateStudent2|name.o=University8,1
member|type,member.s=type.s,member.o=http://www.Department15.University50.edu/UndergraduateStudent166|,2
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|,2828648
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department14.University69.edu/FullProfessor7|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,16
degreeFrom|memberOf,degreeFrom.s=memberOf.s,degreeFrom.o=http://www.University787.edu|memberOf.o=http://www.Department14.University49.edu,2
name|emailAddress,name.s=emailAddress.s,|emailAddress.o=AssistantProfessor4@Department17.University60.edu,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
name|publicationAuthor,name.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department8.University64.edu/FullProfessor4/Publication15,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
member|advisor,member.o=advisor.o,|advisor.s=http://www.Department11.University14.edu/UndergraduateStudent409,1
name|publicationAuthor,name.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department15.University72.edu/GraduateStudent21,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department10.University57.edu/UndergraduateStudent180,8
takesCourse|member,takesCourse.s=member.o,|member.s=http://www.Department15.University69.edu,1513
publicationAuthor|memberOf,publicationAuthor.o=memberOf.s,publicationAuthor.s=http://www.Department15.University72.edu/Lecturer2/Publication1|memberOf.o=http://www.Department15.University72.edu,2
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|degreeFrom.o=http://www.University996.edu,245
type|memberOf,type.s=memberOf.s,|memberOf.o=http://www.Department10.University64.edu,1403
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent36|takesCourse.o=http://www.Department14.University20.edu/GraduateCourse8,1
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent54|,2007
type|worksFor,type.s=worksFor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|worksFor.s=http://www.Department14.University40.edu/AssistantProfessor2,1
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant|,55994
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant|emailAddress.o=GraduateStudent110@Department9.University58.edu,1
telephone|name,telephone.s=name.s,telephone.o=xxx-xxx-xxxx|name.o=GraduateStudent4,2007
hasAlumnus|name,hasAlumnus.o=name.s,hasAlumnus.s=http://www.University300.edu|name.o=GraduateStudent76,2
takesCourse|name,takesCourse.o=name.s,|name.o=Course50,33751
member|emailAddress,member.o=emailAddress.s,member.s=http://www.Department3.University61.edu|emailAddress.o=UndergraduateStudent323@Department3.University61.edu,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department8.University70.edu/GraduateStudent110|,9
member|advisor,member.o=advisor.s,|advisor.o=http://www.Department15.University61.edu/FullProfessor3,12
type|publicationAuthor,type.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department6.University14.edu/AssistantProfessor0,8
member|name,member.s=name.s,|name.o=Department4,54569
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|member.s=http://www.Department13.University38.edu,140
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent257|memberOf.o=http://www.Department9.University83.edu,1
telephone|emailAddress,telephone.s=emailAddress.s,telephone.o=xxx-xxx-xxxx|emailAddress.o=UndergraduateStudent95@Department12.University60.edu,1
hasAlumnus|type,hasAlumnus.o=type.s,hasAlumnus.s=http://www.University700.edu|,1820
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department0.University90.edu/Course8,30
telephone|advisor,telephone.s=advisor.o,telephone.o=xxx-xxx-xxxx|advisor.s=http://www.Department4.University44.edu/GraduateStudent127,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department4.University20.edu/GraduateStudent126,9
emailAddress|publicationAuthor,emailAddress.s=publicationAuthor.o,emailAddress.o=Lecturer4@Department11.University20.edu|,5
emailAddress|hasAlumnus,emailAddress.s=hasAlumnus.o,emailAddress.o=FullProfessor7@Department2.University49.edu|hasAlumnus.s=http://www.University200.edu,1
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department10.University33.edu|takesCourse.o=http://www.Department10.University33.edu/Course30,29
hasAlumnus|member,hasAlumnus.o=member.o,hasAlumnus.s=http://www.University297.edu|member.s=http://www.Department12.University99.edu,1
member|type,member.s=type.s,member.o=http://www.Department21.University6.edu/GraduateStudent68|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
member|type,member.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1120834
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|publicationAuthor.s=http://www.Department1.University96.edu/AssociateProfessor0/Publication12,1
name|member,name.s=member.o,name.o=UndergraduateStudent124|member.s=http://www.Department5.University14.edu,1
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|emailAddress.o=GraduateStudent88@Department13.University6.edu,1
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,publicationAuthor.s=http://www.Department0.University42.edu/FullProfessor2/Publication14|,3
name|type,name.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,217148
takesCourse|member,takesCourse.s=member.o,takesCourse.o=http://www.Department7.University60.edu/Course39|member.s=http://www.Department7.University60.edu,31
memberOf|takesCourse,memberOf.s=takesCourse.s,memberOf.o=http://www.Department3.University17.edu|,1635
advisor|degreeFrom,advisor.o=degreeFrom.s,|degreeFrom.o=http://www.University643.edu,1294
memberOf|member,memberOf.o=member.s,|member.o=http://www.Department15.University75.edu/UndergraduateStudent194,613
memberOf|member,memberOf.s=member.o,memberOf.o=http://www.Department16.University6.edu|member.s=http://www.Department16.University6.edu,584
memberOf|takesCourse,memberOf.s=takesCourse.s,memberOf.o=http://www.Department12.University42.edu|takesCourse.o=http://www.Department12.University42.edu/Course12,33
memberOf|telephone,memberOf.s=telephone.s,memberOf.o=http://www.Department11.University24.edu|telephone.o=xxx-xxx-xxxx,558
degreeFrom|hasAlumnus,degreeFrom.s=hasAlumnus.o,degreeFrom.o=http://www.University307.edu|hasAlumnus.s=http://www.University33.edu,1
emailAddress|type,emailAddress.s=type.s,emailAddress.o=FullProfessor0@Department17.University52.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department22.University29.edu/GraduateCourse7,29
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department9.University8.edu/FullProfessor6/Publication17,4
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent305|,5405
teacherOf|emailAddress,teacherOf.s=emailAddress.s,teacherOf.o=http://www.Department5.University68.edu/Course18|,1
telephone|name,telephone.s=name.s,|name.o=UndergraduateStudent337,1522
member|name,member.s=name.s,member.o=http://www.Department17.University10.edu/UndergraduateStudent196|name.o=Department17,1
name|member,name.s=member.s,|member.o=http://www.Department12.University15.edu/UndergraduateStudent243,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|publicationAuthor.s=http://www.Department16.University53.edu/FullProfessor7/Publication17,1
type|name,type.s=name.s,|name.o=UndergraduateStudent387,2138
type|telephone,type.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2828648
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department5.University58.edu/AssistantProfessor7|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,9
degreeFrom|member,degreeFrom.s=member.o,degreeFrom.o=http://www.University506.edu|member.s=http://www.Department0.University33.edu,1
takesCourse|name,takesCourse.o=name.s,|name.o=GraduateCourse48,8339
type|name,type.s=name.s,|name.o=UndergraduateStudent80,4014
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department9.University11.edu/GraduateCourse33|,23
name|publicationAuthor,name.s=publicationAuthor.o,name.o=AssociateProfessor5|publicationAuthor.s=http://www.Department0.University88.edu/AssociateProfessor5/Publication11,1
advisor|type,advisor.o=type.s,advisor.s=http://www.Department22.University77.edu/UndergraduateStudent297|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,1
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department15.University93.edu|name.o=UndergraduateStudent321,1
type|undergraduateDegreeFrom,type.s=undergraduateDegreeFrom.o,|undergraduateDegreeFrom.s=http://www.Department21.University77.edu/AssociateProfessor9,2
memberOf|degreeFrom,memberOf.s=degreeFrom.s,memberOf.o=http://www.Department8.University4.edu|degreeFrom.o=http://www.University872.edu,1
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department12.University75.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,387
publicationAuthor|member,publicationAuthor.o=member.o,publicationAuthor.s=http://www.Department6.University96.edu/FullProfessor2/Publication7|,2
